"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Angelo de Sousa","Maputo",1938,"Porto",2011,"male","Portugal","painter,sculptor","Angelo de Sousa","Angelo de Sousa","Portuguese","Minimalism","Color Field Painting, Hard Edge Painting, Minimalism","{Color Field Painting:5},{Hard Edge Painting:6},{Minimalism:10}","{Hard Edge Painting:6}, {Minimalism:10}, {Color Field Painting:5}","Hard Edge Painting:1965-2009,Minimalism:1966-1997,Color Field Painting:1974-2006","{Minimalism:21}",1965,2009,21,,,,,,,,,"[]","[]","Angelo De Sousa"
"Carsten Holler","City of Brussels",1961,,,"male","Belgium","visual artist,performance artist","Carsten Höller","Carsten Holler",,"Relational Art","Conceptual Art","{Conceptual Art:10}",,,,2002,2009,10,,,,,,,,,"['Cologne']","['Cologne:2007-2007']","Carsten Holler"
"Ha Chong-Hyun",,1935,,,"male","South Korea","painter","Ha Chong-Hyun","Ha Chong-Hyun","South Korean","Korean Informel","Minimalism","{Minimalism:10}","{Minimalism:10}","Minimalism:1972-2009","{Korean Informel ,Dansaekhwa (Korean Monochrome Painting):10}",1972,2009,10,,,,,,,,,"[]","[]","Ha Chong Hyun"
"Lee Quinones","Ponce",1960,,,"male","United States of America","actor,painter,graffiti artist","Lee Quinones","Lee Quinones",,"Street art","Street art","{Street art:13}",,,,1978,1988,13,"New York","{New York:1}",,,,,,,"[]","[]","Lee Quinones"
"LeRoy Neiman","Saint Paul",1921,"New York City",2012,"male","United States of America","actor,painter","LeRoy Neiman","LeRoy Neiman","American","Neo-Expressionism","Impressionism, Pop Art","{Impressionism:12},{Pop Art:10}","{Impressionism:22}, {Pop Art:10}","Impressionism:1960-2001,Pop Art:1960-2001","{Neo-Expressionism,Pop Art:22}",1960,2001,22,,,,,,,,,"[]","[]","Leroy Neiman"
"Ayse Erkmen","Istanbul",1949,,,"female","Turkey","sculptor,installation artist","Ayse Erkmen","Ayse Erkmen",,"Conceptual Art","Conceptual Art, Neo-Minimalism, Post-Minimalism","{Conceptual Art:9},{Neo-Minimalism:1},{Post-Minimalism:10}",,,"{Contemporary Art:1}",2015,2015,20,"Germany","{Germany:1}",,,,,,,"[]","[]","Ayse Erkmen"
"Jay DeFeo","Hanover",1929,"Oakland",1989,"female","United States of America","photographer,artist,painter,sculptor,visual artist","Jay  DeFeo","Jay DeFeo","American","Abstract Expressionism","Abstract Expressionism","{Abstract Expressionism:18}","{Abstract Expressionism:18}","Abstract Expressionism:1956-1987","{Abstract Expressionism:18}",1956,1987,18,"NY, New York City, US","{New York City:1},{NY:1},{US:1}","San Francisco School",,,,,,"['Oakland', 'Berkeley', 'Florence']","[]","Jay Defeo"
"JCJ Vanderheyden","'s-Hertogenbosch",1928,"'s-Hertogenbosch",2012,"male","Kingdom of the Netherlands","photographer,painter,sculptor,filmmaker,university teacher,graphic artist,film director,visual artist,conceptual artist","JCJ Vanderheyden","JCJ Vanderheyden","Dutch","Post-Painterly Abstraction","Neo-Minimalism, Post-Painterly Abstraction","{Neo-Minimalism:1},{Post-Painterly Abstraction:9}","{Post-Painterly Abstraction:9}, {Neo-Minimalism:1}","Post-Painterly Abstraction:1968-2012,Neo-Minimalism:2001-2001","{Post-Painterly Abstraction:10}",1968,2012,10,,,"Zero",,,,,,"[]","[]","Jcj Vanderheyden"
"Li Yuan-chia","Lingui District",1929,"Cumbria",1994,"male","Taiwan","poet,painter","Li Yuan-chia","Li Yuan-chia","Chinese","Abstract Art","Abstract Art, Conceptual Art, Kinetic Art, Minimalism","{Abstract Art:4},{Conceptual Art:3},{Kinetic Art:3},{Minimalism:4}","{Abstract Art:4}, {Minimalism:4}, {Kinetic Art:3}, {Conceptual Art:3}","Abstract Art:1960-1962,Minimalism:1963-1965,Conceptual Art:1990-1993","{Abstract Art,Conceptual Art,Republic of China (1912–1949):14}",1960,1993,14,"London, UK","{London:1},{UK:1}",,,,,,,"[]","[]","Li Yuan Chia"
"Ding Yi","Suixi County",150,"Beijing",220,"male","China","politician,table tennis player,playwright,librettist,actor,film actor,writer,military personnel,aircraft pilot,businessperson,electronician,historian,literary critic,artist,graphic artist,drawer","Ding Yi","Ding Yi",,"Maximalism","Maximalism","{Maximalism:29}",,,,1989,1991,29,,,,,,,,,"[]","[]","Ding Yi"
"Ad Reinhardt","Buffalo",1913,"New York City",1967,"male","United States of America","painter,university teacher,printmaker,collagist","Ad Reinhardt","Ad Reinhardt","American","Abstract Expressionism","Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism, Hard Edge Painting, Synthetic Cubism","{Abstract Art:15},{Abstract Expressionism:5},{Color Field Painting:15},{Expressionism:7},{Hard Edge Painting:8},{Synthetic Cubism:2}","{Expressionism:7}, {Abstract Art:15}, {Color Field Painting:15}, {Hard Edge Painting:8}, {Abstract Expressionism:5}, {Synthetic Cubism:2}","Expressionism:1944-1946,Abstract Art:1937-1941,Color Field Painting:1952-1966,Hard Edge Painting:1948-1953,Abstract Expressionism:1946-1950,Synthetic Cubism:1940-1940","{Abstract Expressionism,Minimalism:52}",1937,1966,52,"US, NY, Canberra, Fort Worth, Buffalo, Australia, New York City","{New York City:29},{NY:31},{US:32},{Buffalo:2},{Canberra:1},{Australia:1},{Fort Worth:1}","New York School,American Abstract Artists,Irascibles","Piet Mondrian,Kazimir Malevich,Josef Albers,","Donald Judd,Barnett Newman,Mark Rothko,Frank Stella,",,,"Jackson Pollock,","['New York City']","[]","Ad Reinhardt"
"Alexander Calder","Philadelphia",1898,"New York City",1976,"male","United States of America","photographer,illustrator,painter,sculptor,jewelry designer,designer,printmaker,manufacturer,drawer","Alexander Calder","Alexander Calder","American","Kinetic art","Abstract Art, Abstract Expressionism, American Realism, Environmental (Land) Art, Expressionism, Kinetic Art, Surrealism, Unknown","{Abstract Art:32},{Abstract Expressionism:22},{American Realism:7},{Environmental (Land) Art:1},{Expressionism:88},{Kinetic Art:56},{Surrealism:21},{Unknown:2}","{Expressionism:99}, {American Realism:7}, {Kinetic Art:63}, {Abstract Art:37}, {Surrealism:25}, {Abstract Expressionism:22}, {Environmental (Land) Art:1}","Expressionism:1909-1975,American Realism:1922-1925,Kinetic Art:1926-1975,Abstract Art:1930-1975,Surrealism:1932-1973,Abstract Expressionism:1963-1975,Environmental (Land) Art:1970-1970","{Kinetic art:231},{Contemporary art:1},{Modern art:1},{Abstract art:1}",1909,1975,229,"US, NY, Des Moines Art Center, IA, Des Moines, New York City","{New York City:11},{NY:11},{US:12},{Des Moines Art Center:1},{Des Moines:1},{IA:1}","Abstraction-Création",,,,,,"['Tarragona', 'Florida', 'Berlin', 'Calvi', 'Palma de Mallorca', 'Barcelona', 'New York City', 'London', 'Paris', 'Sherman', 'Málaga', 'Madrid', 'Oshkosh']","[]","Alexander Calder"
"Alexander Rodchenko","Saint Petersburg",1891,"Moscow",1956,"male","Soviet Union","photographer,architect,graphic designer,painter,typographer,sculptor,graphic artist,visual artist,designer","Alexander Rodchenko","Alexander Rodchenko","Russian","Avant-garde","Abstract Art, Constructivism, Cubo-Futurism, Unknown","{Abstract Art:5},{Constructivism:53},{Cubo-Futurism:2},{Unknown:26}",,,"{Constructivism:24}",1915,1915,86,,,"Oktyabr (October),LEF (Left Front of the Arts)","И это стоит столетья,Artists2/Alexander Rodchenko/Cover Of Book About That 1923.jpg,Маяковский улыбается, смеется, издевается,Рекламный плакат для Резинотреста,Лёт. Авиа-стихи.,Рекламный плакат для Моссельпрома,Artists2/Alexander Rodchenko/Arvatov About Mayakovsky 1923.jpg,Artists2/Alexander Rodchenko/Dobroliot Fly Well 1923.jpg,Artists2/Alexander Rodchenko/Watches 1923.jpg,Artists2/Alexander Rodchenko/About That 1923.jpg,24 x 20 cm,Artists2/Alexander Rodchenko/Nonsense 1921.jpg,Artists2/Alexander Rodchenko/Abstraction Rupture 1920.jpg,160 x 129 cm,Беспредметная композиция № 65,53 x 21 cm,Композиция,Artists2/Alexander Rodchenko/Objectless Composition 65 Still Life 1918.jpg,Белый круг,90 x 62 cm,40.2 x 35.5 cm,Конструкция,78 x 50.8 cm,",,,,,"['Moscow', 'Kazan', 'Paris']","[]","Alexander Rodchenko"
"Alexej von Jawlensky","Torzhok",1864,"Wiesbaden",1941,"male","Germany","painter,art collector,printmaker,drawer","Alexej von Jawlensky","Alexej von Jawlensky","Russian,German","Expressionism","Abstract Art, Expressionism, Fauvism, Impressionism, Pointillism, Unknown","{Abstract Art:9},{Expressionism:31},{Fauvism:24},{Impressionism:2},{Pointillism:1},{Unknown:1}","{Abstract Art:9}, {Expressionism:46}, {Fauvism:24}, {Japonism:1}, {Impressionism:2}, {Pointillism:1}","Abstract Art:1916-1936,Expressionism:1903-1922,Fauvism:1905-1918,Japonism:1913-1913,Impressionism:1893-1904,Pointillism:1903-1903","{Expressionism:67}",1893,1936,68,"Germany, UK, Vienna, Edinburgh,Albertina, Austria","{Germany:1},{Albertina:2},{Vienna:2},{Austria:2},{Edinburgh:1},{UK:1}","Der Blaue Reiter (The Blue Rider),Degenerate art",,,,,"Wassily Kandinsky,","['Germany', 'Zürich', 'Ascona', 'Paris', 'Saint Petersburg', 'Murnau am Staffelsee', 'Saint-Prex', 'Moscow', 'Wiesbaden', 'Munich']","[]","Alexej Von Jawlensky"
"Anni Albers","Berlin",1899,"Orange",1994,"female","United States of America","author,painter,university teacher,jewelry designer,designer,textile artist,lithographer,textile designer","Anni Albers","Anni Albers","American,German","Constructivism","Abstract Art, Op Art","{Abstract Art:27},{Op Art:1}","{Abstract Art:28}, {Op Art:1}","Abstract Art:1924-1980,Op Art:1968-1968","{Constructivism:28}",1924,1980,28,,,"Bauhaus",,,,,,"[]","[]","Anni Albers"
"Anthony Caro","Surrey",1924,"London",2013,"male","United Kingdom","artist,sculptor,visual artist","Anthony Caro","Anthony Caro","British","New Generation Sculpture","Abstract Art","{Abstract Art:14}","{Abstract Art:14}","Abstract Art:1960-2006","{New Generation Sculpture,Minimalism:14}",1960,2012,14,,,,"David Smith,",,"Tim Scott,William Tucker,Richard Deacon,",,"Henry Moore,","[]","[]","Anthony Caro"
"Beauford Delaney","Knoxville",1901,"14th arrondissement of Paris",1979,"male","United States of America","painter","Beauford Delaney","Beauford Delaney",,"Modernism","Abstract Art, Abstract Expressionism, Academicism, American Realism, Cubism, Expressionism, Fauvism, Post-Impressionism","{Abstract Art:1},{Abstract Expressionism:11},{Academicism:1},{American Realism:3},{Cubism:4},{Expressionism:16},{Fauvism:16},{Post-Impressionism:3}",,,,,,55,"America","{America:1}",,,,,,,"['France']","['France:1953-1979']","Beauford Delaney"
"Clyfford Still","Grandin",1904,"Baltimore",1980,"male","United States of America","painter,printmaker","Clyfford Still","Clyfford Still","American","Abstract Art","Abstract Art, Abstract Expressionism, Color Field Painting, Expressionism","{Abstract Art:5},{Abstract Expressionism:14},{Color Field Painting:20},{Expressionism:6}","{Color Field Painting:20}, {Abstract Expressionism:15}, {Abstract Art:5}, {Expressionism:6}","Color Field Painting:1950-1976,Abstract Expressionism:1944-1962,Abstract Art:1940-1945,Expressionism:1934-1940","{Abstract expressionism:42},{Color Field:26},{Modern art:62},{Contemporary art:5},{Abstract art:31},{Expressionism:5},{Surrealism:7},{Abstract Expressionism:45}",1929,1976,45,"Maryland, CA, New York, Canada, Richmond, Westminster, US, Westlock, Nespelem, California, Alberta, Bow Island, Saratoga Springs, San Francisco, Virginia, Oakland, Washington, VA, MD","{San Francisco:71},{New York:92},{Alberta:11},{Canada:9},{Nespelem:5},{Westminster:23},{MD:11},{Richmond:43},{VA:28},{Oakland:29},{Saratoga Springs:16},{Bow Island:3},{Virginia:15},{California:50},{Maryland:12},{Washington:7},{Westlock:1},{CA:25},{US:25}","Irascibles",,,,,,"['Saratoga Springs', 'New York City', 'Richmond', 'San Francisco']","[]","Clyfford Still"
"Constantin Brâncuși","Hobița",1876,"Paris",1957,"male","France","photographer,illustrator,painter,sculptor,architectural draftsperson,assemblage artist","Constantin Brancusi","Constantin Brâncuși","French,Romanian","Expressionism","Abstract Art, Dada, Expressionism, Naïve Art (Primitivism), Unknown","{Abstract Art:19},{Dada:4},{Expressionism:18},{Naïve Art (Primitivism):2},{Unknown:2}","{Abstract Art:19}, {Expressionism:18}, {Dada:4}, {Naïve Art (Primitivism):2}","Abstract Art:1916-1943,Expressionism:1907-1926,Dada:1916-1929,Naïve Art (Primitivism):1929-1929","{Modernism:1},{Modern art:1},{Expressionism,Abstract Art:43}",1907,1943,45,"London, US, UK, Paris, NY, France, Philadelphia, PA, New York City","{New York City:4},{NY:4},{US:7},{Paris:1},{France:1},{London:2},{UK:2},{Philadelphia:3},{PA:3}","École de Paris,La Ruche","Paul Gauguin,Fernand Leger,Native Art,Dada,","Noguchi Isamu,Richard Serra,Robert Morris,Donald Judd,Art Deco,Minimalism,Edgar Negret,",,"Diego Velazquez,Auguste Rodin,","Amedeo Modigliani,Louise Bourgeois,Pablo Picasso,Man Ray,Marcel Duchamp,Henri Rousseau,Fernand Leger,Camil Ressu,Pedro Coronel,","['Livorno', 'New York City', 'Paris', 'India', 'București', 'Villefranche-sur-Saône', 'Egypt']","[]","Constantin Brancusi"
"David Smith","Decatur",1906,"Bennington",1965,"male","United States of America","photographer,writer,artist,painter,sculptor,visual artist,designer","David Smith","David Smith","American","Abstract Expressionism","Abstract Art, Abstract Expressionism, Unknown","{Abstract Art:4},{Abstract Expressionism:11},{Unknown:1}","{Abstract Expressionism:11}, {Abstract Art:4}","Abstract Expressionism:1945-1964,Abstract Art:1933-1938","{Modern art:1},{Modernism:1},{Abstract Expressionism:16}",1933,1964,16,"Israel, Jerusalem, United States","{United States:2},{Jerusalem:1},{Israel:1}","New York School",,"Anthony Caro,",,,,"['Ottawa', 'London', 'Canberra']","[]","David Smith"
"Eduardo Chillida","San Sebastián",1924,"San Sebastián",2002,"male","Spain","illustrator,association football player,sculptor,graphic artist,visual artist,drawer","Eduardo Chillida","Eduardo Chillida","Spanish","Abstract Art","Abstract Art, Surrealism","{Abstract Art:15},{Surrealism:2}","{Abstract Art:17}","Abstract Art:1955-2005","{Abstract Art:17}",1955,2005,17,,,"El Paso",,,,,,"[]","[]","Eduardo Chillida"
"Erik Bulatov","Yekaterinburg",1933,,,"male","Russia","photographer,painter,sculptor,conceptual artist","Erik Bulatov","Erik Bulatov","Russian","Sots Art","Abstract Art, Conceptual Art, Photorealism, Sots Art, Unknown","{Abstract Art:3},{Conceptual Art:11},{Photorealism:11},{Sots Art:10},{Unknown:3}","{Conceptual Art:20}, {Photorealism:12}, {Sots Art:12}, {Abstract Art:3}","Conceptual Art:1974-2011,Photorealism:1971-2011,Sots Art:1974-2010,Abstract Art:1964-1964","{Conceptual Art,Sots Art,Photorealism (Super-Realism, Hyper-Realism):38}",1964,2011,38,,,,"Moscow Conceptualists,Robert Falk,",,,,"Ilya Kabakov,","['Paris', 'Moscow']","['Paris:1991-2006', 'Moscow:1967-1967']","Erik Bulatov"
"Fernand Leger","Argentan",1881,"Gif-sur-Yvette",1955,"male","France","teacher,illustrator,painter,sculptor,costume designer,filmmaker,graphic artist,film director,scenographer,designer,ceramicist,printmaker,architectural draftsperson,drawer,director,producer","Fernand Léger","Fernand Leger","French","Cubism","Abstract Art, Constructivism, Cubism, Naïve Art (Primitivism), Orphism, Purism, Suprematism, Surrealism, Tubism","{Abstract Art:2},{Constructivism:9},{Cubism:139},{Naïve Art (Primitivism):117},{Orphism:23},{Purism:114},{Suprematism:4},{Surrealism:18},{Tubism:20}","{Cubism:141}, {Purism:115}, {Surrealism:17}, {Orphism:23}, {Naïve Art (Primitivism):117}, {Suprematism:4}, {Tubism:20}, {Constructivism:8}","Cubism:1901-1955,Purism:1918-1955,Surrealism:1932-1955,Orphism:1924-1954,Naïve Art (Primitivism):1930-1955,Suprematism:1923-1926,Tubism:1909-1919,Constructivism:1923-1953","{Cubism:442}",1901,1955,446,"US, Blérancourt, Lille, France, Philadelphia, Lyon, PA","{France:313},{Lyon:2},{Lille:2},{Blérancourt:1},{Philadelphia:1},{PA:1},{US:1}","Section d'Or (Puteaux Group),La Ruche","Henri Rousseau,Paul Cezanne,Henri Matisse,","Roy Lichtenstein,James Rosenquist,Ellsworth Kelly,Frank Stella,Muralism,De Stijl (Neoplasticism),Pop Art,Constructivism,Constantin Brancusi,","Nadir Afonso,Asger Jorn,Tarsila do Amaral,Louise Bourgeois,Jules Olitski,Margit Selska,","Jean-Leon Gerome,Académie Julian, Paris, France,École des Beaux-Arts, Paris, France,Yale School of Art (Yale University), New Haven, CT, US,","Marc Chagall,Piet Mondrian,Le Corbusier,Robert Delaunay,Constantin Brancusi,Roman Selsky,Alice Bailly,","['Gif-sur-Yvette', 'Paris', 'Munich', 'Berlin', 'New York City', 'Vienna', 'Switzerland', 'Caen']","[]","Fernand Leger"
"Francis Picabia","Paris",1879,"Paris",1953,"male","France","screenwriter,writer,poet,painter,sculptor,drawer","Francis Picabia","Francis Picabia","French","Abstract Art","Abstract Art, Cubism, Dada, Divisionism, Expressionism, Fauvism, Impressionism, Kitsch, Orphism, Surrealism, Unknown","{Abstract Art:12},{Cubism:6},{Dada:14},{Divisionism:3},{Expressionism:18},{Fauvism:1},{Impressionism:22},{Kitsch:19},{Orphism:1},{Surrealism:34},{Unknown:1}","{Surrealism:34}, {Kitsch:19}, {Dada:15}, {Impressionism:22}, {Expressionism:20}, {Abstract Art:19}, {Cubism:8}, {Orphism:1}, {Divisionism:3}, {Fauvism:1}","Surrealism:1922-1951,Kitsch:1936-1946,Dada:1915-1938,Impressionism:1898-1908,Expressionism:1902-1944,Abstract Art:1913-1951,Cubism:1912-1914,Orphism:1912-1912,Divisionism:1908-1909,Fauvism:1907-1907","{Cubism:1},{Dada:1},{Modern art:1},{Dada,Surrealism:131}",1898,1951,131,"London, US, Italy, Venice, UK, Tate Britain, NY, Paris, France, Philadelphia, Edinburgh, PA, New York City","{New York City:3},{NY:3},{US:4},{Tate Britain:2},{London:2},{UK:3},{Paris:1},{France:1},{Edinburgh:1},{Venice:1},{Italy:1},{Philadelphia:1},{PA:1}","École de Paris,Section d'Or (Puteaux Group)",,,,,"Man Ray,Alice Bailly,","['Paris', 'New York City', 'Barcelona']","[]","Francis Picabia"
"Franz Marc","Munich",1880,"Verdun",1916,"male","German Empire","illustrator,painter,graphic artist,visual artist,printmaker","Franz Marc","Franz Marc","German","Expressionism","Abstract Art, Cubism, Expressionism, Futurism, Impressionism, Post-Impressionism, Realism, Unknown","{Abstract Art:2},{Cubism:40},{Expressionism:52},{Futurism:2},{Impressionism:7},{Post-Impressionism:11},{Realism:3},{Unknown:3}","{European Painting of the First Half of the Twentieth CenturyExpressionisms:1}, {Cubism:41}, {Expressionism:55}, {Abstract Expressionism:1}, {Post-Impressionism:11}, {Impressionism:7}, {Realism:3}","Cubism:1911-1914,Expressionism:1909-1914,Post-Impressionism:1907-1910,Impressionism:1904-1909,Realism:1902-1906","{German Expressionism:2},{Der Blaue Reiter:2},{Modern art:2},{Expressionism:119}",1902,1914,120,"CA, Rotterdam, Karlsruhe, Kunsthalle, Spain, Switzerland, San Diego, US, Germany, Netherlands, Chicago, Washington DC, MN, IL, Cambridge, Essen, Minneapolis, Wuppertal, MA, San Francisco, Hamburg, Detroit, MI, Buffalo, Basel, Providence, Cologne, Pasadena, Frankfurt, RI, Stuttgart, Munich, NY, Madrid, Düsseldorf, Main, New York City","{Basel:4},{Switzerland:4},{Munich:7},{Germany:18},{Rotterdam:1},{Netherlands:1},{Karlsruhe:1},{San Diego:1},{CA:3},{US:20},{New York City:10},{NY:11},{Detroit:1},{MI:1},{Cologne:2},{Düsseldorf:1},{Buffalo:1},{Chicago:1},{IL:1},{Kunsthalle:2},{Hamburg:4},{Washington DC:1},{Providence:1},{RI:1},{Madrid:1},{Spain:1},{Cambridge:1},{MA:1},{San Francisco:1},{Stuttgart:4},{Minneapolis:1},{MN:1},{Frankfurt:1},{Main:1},{Wuppertal:1},{Essen:1},{Pasadena:1}","Der Blaue Reiter (The Blue Rider),Degenerate art,Der Sturm","El Greco,","Paul Klee,",,,"Edvard Munch,August Macke,Wassily Kandinsky,","['Benediktbeuern', 'Munich', 'Berlin', 'Mulhouse', 'Kochel', 'Paris', 'Lenggries', 'Sindelsdorf']","[]","Franz Marc"
"Gabriele Munter","Berlin",1877,"Murnau am Staffelsee",1962,"female","Germany","artist,painter,printmaker,drawer","Gabriele Münter","Gabriele Munter","German","Expressionism","Abstract Art, Expressionism, Post-Impressionism","{Abstract Art:1},{Expressionism:27},{Post-Impressionism:5}","{Expressionism:27}, {Abstract Art:2}, {Post-Impressionism:5}","Expressionism:1906-1950,Post-Impressionism:1905-1916","{Expressionism:33}",1905,1950,33,,,"Der Blaue Reiter (The Blue Rider),Der Sturm",,,,,,"['Stockholm', 'Murnau am Staffelsee', 'Switzerland', 'Garmisch-Partenkirchen', 'Munich', 'Tunis', 'Rapallo', 'Paris']","[]","Gabriele Munter"
